|       Size N      |Average clock time time|Average average_ob|Maximum max_ob|Minimum min_ob|
|         200          |        468.750        |        199.000        |        199        |        199        |
|         300          |        468.750        |        299.000        |        299        |        299        |
|         400          |        859.375        |        399.000        |        399        |        399        |
|         500          |        703.125        |        499.000        |        499        |        499        |
|         600          |        781.250        |        599.000        |        599        |        599        |
|         700          |        937.500        |        699.000        |        699        |        699        |
|         800          |        1015.625        |        799.000        |        799        |        799        |
|         900          |        1171.875        |        899.000        |        899        |        899        |
|         1000          |        1406.250        |        999.000        |        999        |        999        |
|         1100          |        1484.375        |        1099.000        |        1099        |        1099        |
