|       Size N      |Average clock time time|Average average_ob|Maximum max_ob|Minimum min_ob|
|         1000          |        0.000        |        9.734        |        10        |        1        |
|         1100          |        0.000        |        10.105        |        11        |        1        |
|         1200          |        0.000        |        10.377        |        11        |        1        |
|         1300          |        0.000        |        10.429        |        11        |        1        |
|         1400          |        0.000        |        10.339        |        11        |        1        |
|         1500          |        0.000        |        10.577        |        11        |        1        |
|         1600          |        0.000        |        10.360        |        11        |        1        |
|         1700          |        0.000        |        10.417        |        11        |        1        |
|         1800          |        0.000        |        10.905        |        11        |        1        |
|         1900          |        0.000        |        10.536        |        11        |        1        |
|         2000          |        0.000        |        10.889        |        11        |        1        |
|         2100          |        0.000        |        11.148        |        12        |        1        |
|         2200          |        0.000        |        11.035        |        12        |        1        |
|         2300          |        0.000        |        11.030        |        12        |        1        |
|         2400          |        0.000        |        11.156        |        12        |        1        |
|         2500          |        0.000        |        11.230        |        12        |        1        |
|         2600          |        0.000        |        11.300        |        12        |        1        |
|         2700          |        5.787        |        11.605        |        12        |        1        |
|         2800          |        0.000        |        11.396        |        12        |        1        |
|         2900          |        0.000        |        11.286        |        12        |        1        |
|         3000          |        0.000        |        11.466        |        12        |        1        |
|         3100          |        0.000        |        11.439        |        12        |        1        |
|         3200          |        0.000        |        11.588        |        12        |        1        |
|         3300          |        4.735        |        11.395        |        12        |        1        |
|         3400          |        0.000        |        11.477        |        12        |        1        |
|         3500          |        0.000        |        11.736        |        12        |        1        |
|         3600          |        0.000        |        11.630        |        12        |        1        |
|         3700          |        0.000        |        11.567        |        12        |        1        |
|         3800          |        0.000        |        11.722        |        12        |        1        |
|         3900          |        4.006        |        11.771        |        12        |        1        |
|         4000          |        0.000        |        11.318        |        12        |        1        |
|         4100          |        0.000        |        12.017        |        13        |        1        |
|         4200          |        0.000        |        12.122        |        13        |        1        |
|         4300          |        0.000        |        12.424        |        13        |        1        |
|         4400          |        0.000        |        12.369        |        13        |        1        |
|         4500          |        0.000        |        12.103        |        13        |        1        |
|         4600          |        0.000        |        12.070        |        13        |        1        |
|         4700          |        3.324        |        12.209        |        13        |        1        |
|         4800          |        0.000        |        12.294        |        13        |        1        |
|         4900          |        0.000        |        12.280        |        13        |        1        |
|         5000          |        0.000        |        12.330        |        13        |        1        |
|         5100          |        3.064        |        12.244        |        13        |        1        |
|         5200          |        0.000        |        12.372        |        13        |        1        |
|         5300          |        0.000        |        12.213        |        13        |        1        |
|         5400          |        0.000        |        12.401        |        13        |        1        |
|         5500          |        0.000        |        12.615        |        13        |        1        |
|         5600          |        0.000        |        12.622        |        13        |        1        |
|         5700          |        0.000        |        12.377        |        13        |        1        |
|         5800          |        2.694        |        12.234        |        13        |        1        |
|         5900          |        0.000        |        12.615        |        13        |        1        |
|         6000          |        0.000        |        12.631        |        13        |        1        |
|         6100          |        2.561        |        12.336        |        13        |        1        |
|         6200          |        0.000        |        12.500        |        13        |        1        |
|         6300          |        0.000        |        12.632        |        13        |        1        |
|         6400          |        0.000        |        12.349        |        13        |        1        |
|         6500          |        0.000        |        12.317        |        13        |        1        |
|         6600          |        0.000        |        12.465        |        13        |        1        |
|         6700          |        2.332        |        12.667        |        13        |        1        |
|         6800          |        0.000        |        12.415        |        13        |        1        |
|         6900          |        0.000        |        12.843        |        13        |        1        |
|         7000          |        0.000        |        12.829        |        13        |        1        |
|         7100          |        0.000        |        12.383        |        13        |        1        |
|         7200          |        2.170        |        12.456        |        13        |        1        |
|         7300          |        0.000        |        12.902        |        13        |        1        |
|         7400          |        0.000        |        12.540        |        13        |        1        |
|         7500          |        2.083        |        12.634        |        13        |        1        |
|         7600          |        0.000        |        12.677        |        13        |        1        |
|         7700          |        2.029        |        12.821        |        13        |        1        |
|         7800          |        0.000        |        12.644        |        13        |        1        |
|         7900          |        0.000        |        12.670        |        13        |        1        |
|         8000          |        0.000        |        12.759        |        13        |        1        |
|         8100          |        0.000        |        12.774        |        13        |        1        |
|         8200          |        1.905        |        13.086        |        14        |        1        |
|         8300          |        0.000        |        13.222        |        14        |        1        |
|         8400          |        1.860        |        13.134        |        14        |        1        |
|         8500          |        0.000        |        13.248        |        14        |        1        |
|         8600          |        0.000        |        13.094        |        14        |        1        |
|         8700          |        0.000        |        13.119        |        14        |        1        |
|         8800          |        0.000        |        13.223        |        14        |        1        |
|         8900          |        0.000        |        13.434        |        14        |        1        |
|         9000          |        0.000        |        13.160        |        14        |        1        |
|         9100          |        0.000        |        13.237        |        14        |        1        |
|         9200          |        0.000        |        13.160        |        14        |        1        |
|         9300          |        1.680        |        13.143        |        14        |        1        |
|         9400          |        0.000        |        13.130        |        14        |        1        |
|         9500          |        0.000        |        13.096        |        14        |        1        |
|         9600          |        0.000        |        13.462        |        14        |        1        |
|         9700          |        1.611        |        13.322        |        14        |        1        |
|         9800          |        1.594        |        13.270        |        14        |        1        |
|         9900          |        0.000        |        13.464        |        14        |        1        |
