|       Size N      |Average clock time time|Average average_ob|Maximum max_ob|Minimum min_ob|
|         1000          |        0.000        |        500.500        |        1000        |        1        |
|         1100          |        14.205        |        550.500        |        1100        |        1        |
|         1200          |        0.000        |        600.500        |        1200        |        1        |
|         1300          |        0.000        |        650.500        |        1300        |        1        |
|         1400          |        0.000        |        700.500        |        1400        |        1        |
|         1500          |        0.000        |        750.500        |        1500        |        1        |
|         1600          |        0.000        |        800.500        |        1600        |        1        |
|         1700          |        0.000        |        850.500        |        1700        |        1        |
|         1800          |        0.000        |        900.500        |        1800        |        1        |
|         1900          |        0.000        |        950.500        |        1900        |        1        |
|         2000          |        7.812        |        1000.500        |        2000        |        1        |
|         2100          |        0.000        |        1050.500        |        2100        |        1        |
|         2200          |        0.000        |        1100.500        |        2200        |        1        |
|         2300          |        0.000        |        1150.500        |        2300        |        1        |
|         2400          |        6.510        |        1200.500        |        2400        |        1        |
|         2500          |        0.000        |        1250.500        |        2500        |        1        |
|         2600          |        6.010        |        1300.500        |        2600        |        1        |
|         2700          |        0.000        |        1350.500        |        2700        |        1        |
|         2800          |        5.580        |        1400.500        |        2800        |        1        |
|         2900          |        5.388        |        1450.500        |        2900        |        1        |
|         3000          |        5.208        |        1500.500        |        3000        |        1        |
|         3100          |        0.000        |        1550.500        |        3100        |        1        |
|         3200          |        4.883        |        1600.500        |        3200        |        1        |
|         3300          |        4.735        |        1650.500        |        3300        |        1        |
|         3400          |        4.596        |        1700.500        |        3400        |        1        |
|         3500          |        8.929        |        1750.500        |        3500        |        1        |
|         3600          |        4.340        |        1800.500        |        3600        |        1        |
|         3700          |        0.000        |        1850.500        |        3700        |        1        |
|         3800          |        4.112        |        1900.500        |        3800        |        1        |
|         3900          |        4.006        |        1950.500        |        3900        |        1        |
|         4000          |        3.906        |        2000.500        |        4000        |        1        |
|         4100          |        3.811        |        2050.500        |        4100        |        1        |
|         4200          |        7.440        |        2100.500        |        4200        |        1        |
|         4300          |        3.634        |        2150.500        |        4300        |        1        |
|         4400          |        7.102        |        2200.500        |        4400        |        1        |
|         4500          |        6.944        |        2250.500        |        4500        |        1        |
|         4600          |        6.793        |        2300.500        |        4600        |        1        |
|         4700          |        3.324        |        2350.500        |        4700        |        1        |
|         4800          |        6.510        |        2400.500        |        4800        |        1        |
|         4900          |        6.378        |        2450.500        |        4900        |        1        |
|         5000          |        6.250        |        2500.500        |        5000        |        1        |
|         5100          |        6.127        |        2550.500        |        5100        |        1        |
|         5200          |        9.014        |        2600.500        |        5200        |        1        |
|         5300          |        5.896        |        2650.500        |        5300        |        1        |
|         5400          |        5.787        |        2700.500        |        5400        |        1        |
|         5500          |        8.523        |        2750.500        |        5500        |        1        |
|         5600          |        5.580        |        2800.500        |        5600        |        1        |
|         5700          |        5.482        |        2850.500        |        5700        |        1        |
|         5800          |        5.388        |        2900.500        |        5800        |        1        |
|         5900          |        7.945        |        2950.500        |        5900        |        1        |
|         6000          |        5.208        |        3000.500        |        6000        |        1        |
|         6100          |        7.684        |        3050.500        |        6100        |        1        |
|         6200          |        7.560        |        3100.500        |        6200        |        1        |
|         6300          |        7.440        |        3150.500        |        6300        |        1        |
|         6400          |        7.324        |        3200.500        |        6400        |        1        |
|         6500          |        4.808        |        3250.500        |        6500        |        1        |
|         6600          |        9.470        |        3300.500        |        6600        |        1        |
|         6700          |        6.996        |        3350.500        |        6700        |        1        |
|         6800          |        9.191        |        3400.500        |        6800        |        1        |
|         6900          |        6.793        |        3450.500        |        6900        |        1        |
|         7000          |        8.929        |        3500.500        |        7000        |        1        |
|         7100          |        8.803        |        3550.500        |        7100        |        1        |
|         7200          |        8.681        |        3600.500        |        7200        |        1        |
|         7300          |        8.562        |        3650.500        |        7300        |        1        |
|         7400          |        8.446        |        3700.500        |        7400        |        1        |
|         7500          |        8.333        |        3750.500        |        7500        |        1        |
|         7600          |        6.168        |        3800.500        |        7600        |        1        |
|         7700          |        8.117        |        3850.500        |        7700        |        1        |
|         7800          |        10.016        |        3900.500        |        7800        |        1        |
|         7900          |        11.867        |        3950.500        |        7900        |        1        |
|         8000          |        9.766        |        4000.500        |        8000        |        1        |
|         8100          |        7.716        |        4050.500        |        8100        |        1        |
|         8200          |        9.527        |        4100.500        |        8200        |        1        |
|         8300          |        9.413        |        4150.500        |        8300        |        1        |
|         8400          |        9.301        |        4200.500        |        8400        |        1        |
|         8500          |        9.191        |        4250.500        |        8500        |        1        |
|         8600          |        10.901        |        4300.500        |        8600        |        1        |
|         8700          |        10.776        |        4350.500        |        8700        |        1        |
|         8800          |        10.653        |        4400.500        |        8800        |        1        |
|         8900          |        10.534        |        4450.500        |        8900        |        1        |
|         9000          |        12.153        |        4500.500        |        9000        |        1        |
|         9100          |        8.585        |        4550.500        |        9100        |        1        |
|         9200          |        11.889        |        4600.500        |        9200        |        1        |
|         9300          |        11.761        |        4650.500        |        9300        |        1        |
|         9400          |        11.636        |        4700.500        |        9400        |        1        |
|         9500          |        8.224        |        4750.500        |        9500        |        1        |
|         9600          |        13.021        |        4800.500        |        9600        |        1        |
|         9700          |        12.887        |        4850.500        |        9700        |        1        |
|         9800          |        12.755        |        4900.500        |        9800        |        1        |
|         9900          |        11.048        |        4950.500        |        9900        |        1        |
