|       Size N      |Average clock time time|Average average_ob|Maximum max_ob|Minimum min_ob|
|         1000          |        0.423        |        10.268        |        1000        |        1        |
|         1100          |        0.487        |        10.567        |        1100        |        1        |
|         1200          |        0.426        |        11.512        |        1200        |        1        |
|         1300          |        0.462        |        11.896        |        1300        |        1        |
|         1400          |        0.491        |        12.214        |        1400        |        1        |
|         1500          |        0.447        |        12.946        |        1500        |        1        |
|         1600          |        0.457        |        13.485        |        1600        |        1        |
|         1700          |        0.521        |        13.738        |        1700        |        1        |
|         1800          |        0.464        |        14.078        |        1800        |        1        |
|         1900          |        0.491        |        15.280        |        1900        |        1        |
|         2000          |        0.471        |        15.590        |        2000        |        1        |
|         2100          |        0.487        |        16.646        |        2100        |        1        |
|         2200          |        0.467        |        17.517        |        2200        |        1        |
|         2300          |        0.450        |        16.997        |        2300        |        1        |
|         2400          |        0.487        |        18.435        |        2400        |        1        |
|         2500          |        0.485        |        18.051        |        2500        |        1        |
|         2600          |        0.535        |        18.559        |        2600        |        1        |
|         2700          |        0.477        |        19.831        |        2700        |        1        |
|         2800          |        0.466        |        19.018        |        2800        |        1        |
|         2900          |        0.466        |        21.244        |        2900        |        1        |
|         3000          |        0.471        |        21.011        |        3000        |        1        |
|         3100          |        0.459        |        21.727        |        3100        |        1        |
|         3200          |        0.499        |        22.010        |        3200        |        1        |
|         3300          |        0.443        |        22.090        |        3300        |        1        |
|         3400          |        0.511        |        23.654        |        3400        |        1        |
|         3500          |        0.481        |        23.599        |        3500        |        1        |
|         3600          |        0.441        |        25.184        |        3600        |        1        |
|         3700          |        0.427        |        24.911        |        3700        |        1        |
|         3800          |        0.441        |        24.913        |        3800        |        1        |
|         3900          |        0.439        |        26.082        |        3900        |        1        |
|         4000          |        0.434        |        27.082        |        4000        |        1        |
|         4100          |        0.444        |        27.614        |        4100        |        1        |
|         4200          |        0.456        |        28.942        |        4200        |        1        |
|         4300          |        0.444        |        27.078        |        4300        |        1        |
|         4400          |        0.451        |        28.582        |        4400        |        1        |
|         4500          |        0.456        |        30.092        |        4500        |        1        |
|         4600          |        0.455        |        29.195        |        4600        |        1        |
|         4700          |        0.470        |        30.855        |        4700        |        1        |
|         4800          |        0.481        |        29.651        |        4800        |        1        |
|         4900          |        0.475        |        32.436        |        4900        |        1        |
|         5000          |        0.462        |        31.879        |        5000        |        1        |
|         5100          |        0.471        |        33.983        |        5100        |        1        |
|         5200          |        0.445        |        31.704        |        5200        |        1        |
|         5300          |        0.460        |        34.002        |        5300        |        1        |
|         5400          |        0.466        |        33.613        |        5400        |        1        |
|         5500          |        0.468        |        36.012        |        5500        |        1        |
|         5600          |        0.466        |        36.089        |        5600        |        1        |
|         5700          |        0.459        |        34.270        |        5700        |        1        |
|         5800          |        0.506        |        36.714        |        5800        |        1        |
|         5900          |        0.544        |        37.233        |        5899        |        1        |
|         6000          |        0.506        |        38.967        |        6000        |        1        |
|         6100          |        0.472        |        37.663        |        6100        |        1        |
|         6200          |        0.473        |        39.154        |        6200        |        1        |
|         6300          |        0.465        |        41.485        |        6300        |        1        |
|         6400          |        0.472        |        40.559        |        6400        |        1        |
|         6500          |        0.548        |        39.727        |        6500        |        1        |
|         6600          |        0.547        |        39.743        |        6600        |        1        |
|         6700          |        0.646        |        40.457        |        6700        |        1        |
|         6800          |        0.563        |        41.438        |        6800        |        1        |
|         6900          |        0.529        |        40.812        |        6900        |        1        |
|         7000          |        0.634        |        41.266        |        7000        |        1        |
|         7100          |        0.595        |        43.527        |        7100        |        1        |
|         7200          |        0.562        |        41.058        |        7200        |        1        |
|         7300          |        0.531        |        42.289        |        7300        |        1        |
|         7400          |        0.507        |        41.446        |        7400        |        1        |
|         7500          |        0.536        |        46.609        |        7500        |        1        |
|         7600          |        0.556        |        46.301        |        7600        |        1        |
|         7700          |        0.523        |        43.994        |        7700        |        1        |
|         7800          |        0.574        |        43.220        |        7800        |        1        |
|         7900          |        0.583        |        45.931        |        7900        |        1        |
|         8000          |        0.780        |        48.808        |        8000        |        1        |
|         8100          |        0.808        |        48.856        |        8100        |        1        |
|         8200          |        0.732        |        50.753        |        8200        |        1        |
|         8300          |        0.901        |        48.709        |        8300        |        1        |
|         8400          |        0.974        |        49.995        |        8400        |        1        |
|         8500          |        1.008        |        50.454        |        8500        |        1        |
|         8600          |        0.962        |        49.120        |        8600        |        1        |
|         8700          |        0.967        |        47.110        |        8700        |        1        |
|         8800          |        0.969        |        49.306        |        8799        |        1        |
|         8900          |        0.984        |        51.113        |        8900        |        1        |
|         9000          |        0.978        |        54.215        |        9000        |        1        |
|         9100          |        1.022        |        52.193        |        9100        |        1        |
|         9200          |        1.007        |        53.704        |        9199        |        1        |
|         9300          |        0.820        |        52.214        |        9300        |        1        |
|         9400          |        0.656        |        55.409        |        9400        |        1        |
|         9500          |        0.562        |        54.462        |        9500        |        1        |
|         9600          |        0.568        |        55.253        |        9600        |        1        |
|         9700          |        0.576        |        54.884        |        9700        |        1        |
|         9800          |        0.632        |        55.613        |        9800        |        1        |
|         9900          |        0.639        |        60.019        |        9900        |        1        |
